Frame,UTC_time,x1,y1,x2,y2,CLASS,predicted_depth,actual_depth
4213,2025-06-08 08:30:29.456898+00:00,401,161,518,292,truck,8.993267582912072,10.0332575
4213,2025-06-08 08:30:29.456898+00:00,0,194,98,369,bus,6.091252944048713,5.206669
4213,2025-06-08 08:30:29.456898+00:00,0,195,98,369,truck,6.091252944048713,5.206669
4213,2025-06-08 08:30:29.456898+00:00,401,161,518,292,bus,8.993267582912072,10.0332575
4214,2025-06-08 08:30:29.673661+00:00,938,239,1146,350,car,5.707494399126838,3.9302127
4214,2025-06-08 08:30:29.673661+00:00,675,206,954,373,car,5.381909538717831,3.7376707
4214,2025-06-08 08:30:29.673661+00:00,589,225,691,306,car,7.272165335860907,8.722669
4214,2025-06-08 08:30:29.673661+00:00,384,162,507,298,bus,8.673947801776961,10.1099615
4214,2025-06-08 08:30:29.673661+00:00,173,182,397,349,bus,6.873246735217524,4.2350945
4214,2025-06-08 08:30:29.673661+00:00,536,206,601,270,car,10.841453402650123,15.142087
4214,2025-06-08 08:30:29.673661+00:00,173,183,396,349,truck,6.873246735217524,4.2350945
4215,2025-06-08 08:30:29.890063+00:00,668,205,941,375,car,5.301904416551777,3.7504752
4215,2025-06-08 08:30:29.890063+00:00,1097,236,1279,379,car,5.0179299747242645,2.8787453
4215,2025-06-08 08:30:29.890063+00:00,368,150,499,302,bus,9.01742134842218,10.100031
4215,2025-06-08 08:30:29.890063+00:00,582,223,682,307,car,7.319024179496017,9.350799
4215,2025-06-08 08:30:29.890063+00:00,92,167,368,368,truck,5.8422995174632355,4.3083887
4215,2025-06-08 08:30:29.890063+00:00,531,205,599,270,car,10.785268746170344,14.572251
4215,2025-06-08 08:30:29.890063+00:00,531,206,598,269,truck,10.823665843290442,14.858328
4216,2025-06-08 08:30:30.106864+00:00,662,204,932,375,car,5.2852029239430145,3.7784634
4216,2025-06-08 08:30:30.106864+00:00,346,141,491,303,bus,9.616866766237745,10.601342
4216,2025-06-08 08:30:30.106864+00:00,577,223,675,306,car,7.257852591720282,9.254526
4216,2025-06-08 08:30:30.106864+00:00,531,203,595,269,car,10.472938687193627,13.726722
4216,2025-06-08 08:30:30.106864+00:00,0,154,332,393,truck,4.741641175513174,3.4330814
4216,2025-06-08 08:30:30.106864+00:00,526,204,594,269,truck,10.480708103553921,14.219954
4217,2025-06-08 08:30:30.323757+00:00,654,204,919,374,car,5.2105126474417895,3.860312
4217,2025-06-08 08:30:30.323757+00:00,317,132,489,306,bus,9.161490646063113,9.990419
4217,2025-06-08 08:30:30.323757+00:00,569,224,666,306,car,7.263101615157782,8.867294
4217,2025-06-08 08:30:30.323757+00:00,0,134,289,422,truck,3.8424329570695464,3.530699
4217,2025-06-08 08:30:30.323757+00:00,520,201,589,270,truck,10.509872137331495,13.729524
4218,2025-06-08 08:30:30.540417+00:00,648,204,905,368,car,5.386013255399816,3.818787
4218,2025-06-08 08:30:30.540417+00:00,566,223,660,304,car,7.146234250536152,8.799688
4218,2025-06-08 08:30:30.540417+00:00,0,125,231,437,truck,3.8693093692555145,2.8663986
4218,2025-06-08 08:30:30.540417+00:00,277,118,482,307,bus,8.470989750880822,9.037362
4218,2025-06-08 08:30:30.540417+00:00,513,199,583,266,truck,10.905290192248774,14.480829
4218,2025-06-08 08:30:30.540417+00:00,483,236,515,269,car,12.311142865349264,26.669588
4219,2025-06-08 08:30:30.756973+00:00,639,203,891,366,car,5.442126704197304,3.9377322
4219,2025-06-08 08:30:30.756973+00:00,244,100,473,311,bus,7.746003992417279,7.6695294
4219,2025-06-08 08:30:30.756973+00:00,561,221,655,302,car,7.196780335669424,8.078152
4219,2025-06-08 08:30:30.756973+00:00,140,210,191,324,person,5.219709807751226,4.9957547
4219,2025-06-08 08:30:30.756973+00:00,0,130,155,421,truck,3.9981545840992645,2.7987046
4219,2025-06-08 08:30:30.756973+00:00,512,199,580,262,truck,10.983441521139707,14.267134
4219,2025-06-08 08:30:30.756973+00:00,483,234,508,267,car,13.802527334175858,25.386633
4220,2025-06-08 08:30:30.973929+00:00,633,201,875,361,car,5.625798244102328,4.211238
4220,2025-06-08 08:30:30.973929+00:00,202,83,464,315,bus,7.286518770105698,5.7892766
4220,2025-06-08 08:30:30.973929+00:00,94,198,154,336,person,8.291152056525736,5.9477515
4220,2025-06-08 08:30:30.973929+00:00,555,217,652,300,car,7.114160874310662,7.5524893
4220,2025-06-08 08:30:30.973929+00:00,481,228,499,267,person,14.13388480392157,30.577839
4220,2025-06-08 08:30:30.973929+00:00,508,196,578,260,truck,11.021075080422793,14.441469
4220,2025-06-08 08:30:30.973929+00:00,0,214,48,376,car,4.93781265557981,3.8367426
